,评论等级,评论人网名,评论内容,点赞数,回复数,评论时间,评论人性别,评论人个性签名,评论人账户等级,评论人是否会员
31,二级评论,无影风生,看了一集就把初二上册的历史学了一半儿,0,0,2019-11-24 14:26:39,男,心火を燃やして，敵の身を崩す( •̀∀•́ ),3,无
32,二级评论,樱下之蝶-幽幽子,为什么有秃子没有孙中山？,0,0,2019-11-26 10:10:49,保密,,5,年度大会员
33,二级评论,派大馨21,默默问一下为什么中国是🐰[害羞][害羞][害羞],1,0,2019-11-26 21:09:59,女,Dream it possible,5,年度大会员
34,二级评论,水之高,伪满洲国，不是满洲国,1,0,2019-11-27 18:29:52,保密,,3,无
35,二级评论,geyingjian,1,0,0,2019-12-06 21:24:21,保密,,3,无
36,二级评论,暴躁老哥-在线怼人,来人上恶犬,0,0,2019-12-07 10:25:17,保密,,3,无
37,二级评论,烟雨凌波,回复 @樱下之蝶-幽幽子 :他们说有胡子的萌主就是孙中山。,1,0,2019-12-13 11:06:44,保密,,4,无
38,二级评论,四个橘子丶,1,0,0,2019-12-28 01:04:08,男,,4,无
39,二级评论,一笑倾城的美少女_,还有前面的古代史,0,0,2019-12-28 10:49:46,保密,,2,无
40,二级评论,58569294065_bili,回复 @樱下之蝶-幽幽子 :萌总  就是孙中山啊。同盟会,0,0,2019-12-30 19:38:17,保密,,3,无
41,二级评论,宅家抗击细菌大王,回复 @樱下之蝶-幽幽子 :剪辫子的那位就是中山先生啊,0,0,2020-01-01 08:49:48,男,不吃不接触野生动物，不乱杀生，多食素，积善行德。大家一同努力，武汉加油！中国加油！浙江加油！,3,无
42,二级评论,玩叔今天也在学画画,学了一年半历史，五分钟给我概括完了哈哈哈,0,0,2020-01-11 13:51:21,保密,,3,大会员
43,二级评论,源来是嵩鼠,啧啧，b站都是些什么大神阿,0,0,2020-01-11 16:15:05,保密,十年许嵩，雅俗共赏,3,无
44,二级评论,诸葛飘风,你写完了我的历史作业,0,0,2020-01-13 23:33:44,男,你好,3,大会员
45,二级评论,星宝aa,厉害了我的哥,0,0,2020-02-14 12:30:19,女,,2,无
46,二级评论,hahahaha蛤,天啊啊啊啊 一小段的动画尽然那么多事件,0,0,2020-02-16 22:53:10,保密,,2,无
47,二级评论,我是本站最欧的欧皇,国共二次合作漏了,0,0,2020-02-17 16:22:45,保密,,3,无
48,二级评论,我是本站最欧的欧皇,对不起，没看到,0,0,2020-02-17 16:23:26,保密,,3,无
49,二级评论,凌晨卍三,一目了然，不言而喻,1,0,2020-02-19 15:33:10,保密,念去去、千里烟波，暮霭沉沉楚天阔。,3,无
50,二级评论,仙游63,回复 @喵不哭 :我又看了一遍,0,0,2020-02-25 11:05:50,保密,,2,大会员
51,二级评论,薇尔莉特______,好厉害,0,0,2020-02-27 22:13:19,女,心有猛虎，细嗅蔷薇,2,大会员
52,二级评论,南笙离KY,复习一遍近代史,0,0,2020-02-28 16:51:27,女,,2,无
53,二级评论,薇薇奥,中国人民,0,0,2020-02-28 19:12:37,女,"只想安静
",4,大会员
54,二级评论,骊歌短,回复 @樱下之蝶-幽幽子 :因为压根没讲辛亥革命，北伐也没讲，袁世凯死了后北洋军阀混乱不堪，南方革命军与之谈判破解，孙中山回国领导革命,0,0,2020-03-08 10:23:34,保密,山东政法学院 风动电竞部,3,无
55,二级评论,zheermao折耳猫,回复 @3258440747 :能把历史事件的时间补充一下吗？,0,0,2020-03-11 14:48:10,保密,,4,无
56,二级评论,灵均z,谢谢科普君,0,0,2020-04-02 01:00:25,保密,,3,无
57,二级评论,40703057812_bili,回复 @晨晓絮风 :如果是男孩呢[doge][doge][doge],0,0,2020-04-02 22:22:16,保密,,4,无
58,二级评论,是轻写,我来复习历史了,0,0,2020-04-04 09:10:50,女,这个人懒死了，什么也不想写ヽ(￣д￣;)ノ,5,无
59,一级评论,翊新,"很好，我顶个。

如果你不愿意走在前面，请你跟着队伍；
如果你不愿意跟着队伍走，请你在路边围观；
如果你不愿意在路边围观，请你在网上呐喊；
如果你这些都做不到，请默默闭上你的眼，坐下来享受我们为你争取来的权利；
如果你这都做不到，请你收起你的嘲讽跟无视的目光。
你的视而不见，让我十分忧伤；
你的冷嘲热讽，让我倍感心伤！
我们争取的也是属于你的阳光啊！",19158,61,2015-03-06 19:32:54,男,在谬论面前 ，真理也是谬论,6,年度大会员
60,二级评论,0逍遥子0,这话太赞！！！！,91,0,2015-03-06 19:33:57,男,细味人生快乐种种，后人与你必有所得。,6,大会员
61,二级评论,仿生人梦里的电子羊,回复 @翊新:棒棒棒！！！,12,0,2015-03-08 09:10:49,保密,,5,年度大会员
62,二级评论,嘤叽,说得好！！！,10,0,2015-08-01 23:16:21,保密,,4,无
63,二级评论,梓哥无处不在,说得太棒了,11,0,2019-04-23 16:59:06,女,"夏日里的遗憾一定会被秋风温柔化解
",3,大会员
64,二级评论,爱思考的猫,漂亮,6,0,2019-05-13 21:28:37,男,莫名的伤感,4,无
65,二级评论,栗早-,哭了，顶,6,0,2019-05-14 14:34:30,女,,4,无
66,二级评论,鸣人的绊,你的头像好暖啊,6,0,2019-05-24 22:16:19,女,火影火影火影火影火影火影火影火影火影火影火影火影火影火影火影火影火影火影火影火影火影火影火影火影火影火影火影火影火影火影火影火影火影火影火影,4,大会员
67,二级评论,墨玉箐竹,这个必须顶一个！,3,0,2019-05-26 00:00:58,男,破站不倒，陪你到老,5,年度大会员
68,二级评论,四月戈,赞👍,3,0,2019-05-29 16:54:35,保密,,3,无
69,二级评论,lily989898,"爱我中华,虽然有时候气愤怨恨,但依然爱你,愿我们的种花家越来越好越来越强(･∀･)",176,0,2019-05-30 22:58:27,保密,,4,无
70,二级评论,Bili_174030235,荣辱一体，嘲讽自己国家，自己本国的人的人，实际上是在抽自己,280,0,2019-06-08 21:46:06,女,给钱就当舔狗,4,大会员
71,二级评论,冰山上的小熊TF,泪了,5,0,2019-06-16 20:01:31,女,人生诡谲，仍要坚韧地追求活着的真谛,4,无
72,二级评论,幽篁清玄,有些时候，人们并不是怕自己会受到伤害而沉默。更多的是怕自己最珍重的家人，自己最在乎的事业受到伤害。,36,0,2019-07-07 12:43:12,男,"壮志青天耀白日，血浸山河满地红！
为有牺牲多壮志，敢叫日月换新天！",2,无
73,二级评论,为了胜利_向我开炮,不是岁月一直静好，而是有人替我们负重前行！,31,0,2019-07-12 23:18:29,男,此生无悔入华夏 来世还在种花家,4,无
74,二级评论,一只小稽稽,祖国就算再怎样，我们也要支持她，保护她,13,0,2019-07-17 18:11:00,男,这里是一只小稽稽哦（不是滑稽）,5,无
75,二级评论,深渊隐匿者,回复 @lily989898 :因爱生恨嘛，有的时候看到一些事一些人，真的气，但本心不能丢,14,0,2019-07-18 12:47:36,男,吾咸甚，此鱼何能及我也,5,大会员
76,二级评论,毒瘾少女清眸,我愿紧跟队伍，至死不悔,3,0,2019-08-14 02:09:26,保密,龙哥就是力量,5,大会员
77,二级评论,是兔兔鸭也是木兮,💪💪紧跟队伍,0,0,2019-08-16 21:06:46,女,,4,无
78,二级评论,朝太阳开枪,顶一个,0,0,2019-08-16 23:46:29,男,无所为而无所谓  无所谓而无所不为,3,无
79,二级评论,空山新雨214,加油😭,1,0,2019-08-17 08:20:37,女,加油,4,无
80,二级评论,明月踏雪行,中国🇨🇳,0,0,2019-08-22 06:23:32,保密,吧啦啦啦啦,4,无
81,二级评论,秋风落叶有寒光,别人常说：如果祖国遭到了侵害，热血男儿当自强。那怎样算祖国遭到了侵害呢？外敌是共知的，不必说。我只说：如果一个国家建国、一个民族的精神和国家发展的基础和理念被腐蚀和动摇时，我们的祖国就受到了侵害。——因此，有人说“如果祖国遭到了侵害，热血男儿当自强”的时候，不应忘记这句话的两个含义。不过我也觉得人们推崇第一个也有原因，因为总能是英雄。第二个却不好说，因为世界上有说的出来的话，也有说不出来的话，那就要看心中的信念了。,23,0,2019-09-11 11:45:16,保密,,3,年度大会员
82,二级评论,素面可好,一荣俱荣，一损俱损！[吃瓜],2,0,2019-09-13 09:51:26,保密,人生自是有痴情，人生得意须尽欢！,3,大会员
83,二级评论,不堪回首啊,加油,0,0,2019-09-25 18:54:32,男,好个少年郎,5,无
84,二级评论,可乐旱獭,爱我中华，这段话太棒了,0,0,2019-09-26 06:18:29,女,。。。。,4,无
85,二级评论,咋输入新昵称,犯我中华者，虽远必诛,1,0,2019-09-27 13:53:31,保密,世界既不黑也不白，而是一道精致的灰,4,大会员
86,二级评论,大只狸,ddddd,0,0,2019-09-27 16:51:46,女,梦想成为六级球,5,大会员
87,二级评论,傲娇の叶铭辰,中华人民共和国万岁！世界人民大团结万岁！,1,0,2019-09-27 19:01:22,男,不要哭，真难看，要知道哭也不会改变什么，这个世界从来不曾对任何人温柔。——夏尔·凡多姆海威（啵酱）《黑执事》,3,大会员
88,二级评论,壹只miu,扬花落尽,0,0,2019-09-28 12:21:28,保密,,5,无
89,二级评论,航海骑士,回复 @喷子杠精biss :那美帝人民抽自己抽的咣咣响,1,0,2019-09-29 09:12:38,保密,,3,无
90,二级评论,朝歌明姝,孙先生,0,0,2019-10-01 14:54:31,女,彼汾一曲，言采其藚。彼其之子，美如玉；美如玉，殊异乎公族。,5,大会员
91,二级评论,胖虎超级激光炮,我们爱国是固然的，但是要有一个谦虚的心态，不要膨胀，,5,0,2019-10-01 22:31:52,男,,3,大会员
92,二级评论,请叫我绫,会说话就出本书[2233娘_耶],0,0,2019-10-02 13:51:35,保密,吾辈......,4,年度大会员
93,二级评论,弥柚桃,精辟,0,0,2019-10-04 02:15:43,保密,,3,无
94,二级评论,小鱼玉仙官,2019.10.6木子画❤,0,0,2019-10-06 01:36:05,保密,除却君身三尺雪，天下谁人配白衣。月色与雪色之间，你是第三种绝色。,4,无
95,二级评论,言承旭丶,前面的人倒下我就向前顶,0,0,2019-10-07 09:42:53,保密,,5,年度大会员
96,二级评论,bili_349752562,那如果发现问题能说吗,0,0,2019-10-09 15:15:50,保密,,3,无
97,二级评论,外卖刀客,"回复 @lily989898 :我看过这么一句话感觉说到我心里了，跟你说的很像！
我爱我的祖国，我爱她是因为我爱她！
我恨我的祖国，我恨她是因为我爱她！",3,0,2019-10-12 15:58:14,男,,3,无
98,二级评论,想升级却白嫖的二级号,麻烦去QQ看点去刷，请不要ky，谢谢[嫌弃],1,0,2019-10-26 07:56:01,男,,3,无
99,二级评论,雨宫莲亚森,回复 @想升级却白嫖的二级号 :你才是ky吧,0,0,2019-11-28 10:50:29,男,我要成为一名七都up,5,年度大会员
100,二级评论,我就是一只新人阿婆主,1,0,0,2019-11-29 01:12:00,保密,,2,无
101,二级评论,共产注意种花兔,回复 @中国GC党万岁 :兄弟我看你空间感觉你挺爱国的，发这个表情干嘛？,1,0,2019-12-24 10:23:58,男,,4,无
102,二级评论,王大人在此快,顶,0,0,2019-12-28 16:22:54,男,,4,大会员
103,二级评论,23267941060_bili,顶,0,0,2019-12-29 15:13:19,保密,,2,无
104,二级评论,WyQn义谨,说得好,0,0,2020-01-13 00:12:25,男,大道虚无,4,大会员
105,二级评论,清风徐徐淶,这话太好了,0,0,2020-01-14 13:47:57,男,,3,无
106,二级评论,bili_75152782686,必须顶，说的好！,0,0,2020-01-21 20:38:47,保密,,2,大会员
107,二级评论,小海笑XHX,说的好棒，可以复制来在外网怼喷子吗，希望得到你的同意。,1,0,2020-01-28 20:41:05,保密,,3,无
108,二级评论,汁汁汁,[加油武汉],0,0,2020-02-09 23:25:34,保密,恕我直言，在座的各位,4,无
109,二级评论,坐在开往春天的列车,我爱你中国，中国加油，武汉加油！,0,0,2020-03-06 17:38:23,保密,,2,无
110,二级评论,青涩汤果,回复 @秋风落叶有寒光 :你是个很有思想的人，你说的很对。,0,0,2020-03-13 00:02:13,保密,,3,无
111,二级评论,L-Dragon2,回复 @bili_349752562 :看你怎么说、在哪说、何时说了。问题本身是不是问题也需要思考。,0,0,2020-03-19 14:43:57,男,这是一场为了战胜过去的试炼。人只有战胜了那幼稚的过去，才会有所成长。你也是吧？,4,年度大会员
112,二级评论,取个好名真nan,如果是不好的东西，冷嘲热讽也比视而不见好，视而不见也比站在队伍好,0,0,2020-03-22 19:25:11,保密,,2,无
113,二级评论,bili_74402436576,回复 @梓哥无处不在 :@梓哥无处不在,0,0,2020-03-22 19:59:44,保密,,2,无
114,二级评论,Popipoo333,民主自由法治不是天上掉馅饼,0,0,2020-03-26 19:44:24,男,,4,大会员
115,二级评论,世杰蓝袭,回复 @想升级却白嫖的二级号 :没人发声，你要等到什么时候才发声,0,0,2020-03-28 14:50:13,保密,,3,无
116,二级评论,50280901229_bili,说的好,0,0,2020-03-30 12:34:24,保密,,2,大会员
117,二级评论,26472768309_bili,[支持],0,0,2020-03-31 17:49:50,保密,,3,无
118,二级评论,你的披萨到了,加油,0,0,2020-04-03 19:48:56,保密,,5,大会员
119,二级评论,cnmlgbgdzhhgg,赞,0,0,2020-04-03 21:51:44,保密,,2,无
120,二级评论,捣乱丨丨,回复 @lily989898 :我觉得就真的像妈妈和孩子，可能会吵架，但是外人要是说自己祖国的坏话都会不高兴，会反驳，因为我们自己说是发现问题目的是为了让祖国更好，我想是这样吧,0,0,2020-04-04 21:59:54,女,,4,无
